SUBMISSIONYEARQUARTER,PWSID,SAMPLE_ID,SAMPLING_END_DATE,SAMPLING_START_DATE,RECONCILIATION_ID,SAMPLE_FIRST_REPORTED_DATE,SAMPLE_LAST_REPORTED_DATE,SAR_ID,CONTAMINANT_CODE,RESULT_SIGN_CODE,SAMPLE_MEASURE,UNIT_OF_MEASURE,SAR_FIRST_REPORTED_DATE,SAR_LAST_REPORTED_DATE
2025Q1,GA0450004,GA48367,12/31/2014,01/01/2012,,11/17/2014,11/19/2015,17726566,PB90,,.022,mg/L,11/17/2014,11/19/2015
2025Q1,GA0450006,GA49656,12/31/2014,01/01/2014,,11/17/2014,03/09/2017,17726572,PB90,,.0092,mg/L,11/17/2014,03/09/2017
2025Q1,GA0510001,GA48782,12/31/2016,01/01/2014,,11/17/2014,08/24/2015,17726590,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA0510004,GA49662,12/31/2014,01/01/2012,,11/17/2014,11/19/2015,17726598,PB90,,.0025,mg/L,11/17/2014,11/19/2015
2025Q1,GA0510083,GA48751,12/31/2014,01/01/2014,,11/17/2014,08/29/2016,17726615,PB90,,.0025,mg/L,11/17/2014,08/29/2016
2025Q1,GA0510271,GA49221,12/31/2014,07/01/2014,,11/17/2014,06/20/2024,17726634,PB90,,.025,mg/L,11/17/2014,06/20/2024
2025Q1,GA0730000,GA48918,12/31/2014,01/01/2014,,11/17/2014,08/29/2016,17726670,PB90,,.0031,mg/L,11/17/2014,08/29/2016
2025Q1,GA0750000,GA49947,12/31/2016,01/01/2014,,11/17/2014,11/19/2015,17726681,PB90,,.0025,mg/L,11/17/2014,11/19/2015
2025Q1,GA0770003,GA49267,12/31/2016,01/01/2014,,11/17/2014,03/20/2025,17726688,PB90,,0,mg/L,11/17/2014,03/20/2025
2025Q1,GA0810001,GA48413,12/31/2014,01/01/2012,,11/17/2014,08/24/2015,17726694,PB90,,.0045,mg/L,11/17/2014,08/24/2015
2025Q1,GA0850007,GA49541,12/31/2014,01/01/2012,,11/17/2014,08/24/2015,17726701,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA0910002,GA48640,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726707,PB90,,.003,mg/L,11/17/2014,08/24/2015
2025Q1,GA0950000,GA48360,12/31/2015,01/01/2013,,11/17/2014,08/29/2016,17726713,PB90,,.0061,mg/L,11/17/2014,08/29/2016
2025Q1,GA0950000,GA49332,12/31/2016,01/01/2014,,11/17/2014,08/24/2015,17726714,PB90,,.0064,mg/L,11/17/2014,08/24/2015
2025Q1,GA0950035,GA49693,12/31/2015,01/01/2013,,11/17/2014,11/19/2015,17726716,PB90,,.0062,mg/L,11/17/2014,11/19/2015
2025Q1,GA1110001,GA49152,12/31/2015,01/01/2013,,11/17/2014,08/24/2015,17726748,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA1130003,GA49813,12/31/2014,01/01/2012,,11/17/2014,11/19/2015,17726755,PB90,,.0059,mg/L,11/17/2014,11/19/2015
2025Q1,GA1170000,GA49543,12/31/2015,01/01/2013,,11/17/2014,11/19/2015,17726764,PB90,,0,mg/L,11/17/2014,11/19/2015
2025Q1,GA1370001,GA49220,12/31/2016,01/01/2014,,11/17/2014,08/24/2015,17726826,PB90,,.0003,mg/L,11/17/2014,08/24/2015
2025Q1,GA1370001,GA49542,12/31/2014,01/01/2012,,11/17/2014,08/24/2015,17726827,PB90,,0,mg/L,11/17/2014,08/24/2015
2025Q1,GA1370003,GA49554,12/31/2016,01/01/2014,,11/17/2014,03/09/2021,17726834,PB90,,.011,mg/L,11/17/2014,03/09/2021
2025Q1,GA1410014,GA49677,12/31/2016,01/01/2014,,11/17/2014,12/21/2023,17726846,PB90,,.0203,mg/L,11/17/2014,12/21/2023
2025Q1,GA1810038,GA66134,12/31/2019,01/01/2017,,11/12/2019,05/17/2023,19317912,PB90,,.0018,mg/L,11/12/2019,05/17/2023
2025Q1,GA1850000,GA66139,12/31/2019,01/01/2017,,11/12/2019,03/09/2021,19317913,PB90,,.0063,mg/L,11/12/2019,03/09/2021
2025Q1,GA1890001,GA66507,12/31/2019,01/01/2017,,11/12/2019,05/14/2021,19317916,PB90,,.0028,mg/L,11/12/2019,05/14/2021
2025Q1,GA1970003,GA65879,12/31/2019,01/01/2019,,11/12/2019,11/17/2022,19317920,PB90,,.0022,mg/L,11/12/2019,11/17/2022
2025Q1,GA0990000,GA57532,12/31/2016,01/01/2014,,05/26/2017,05/04/2018,18537359,PB90,,.0024,mg/L,05/26/2017,05/04/2018
2025Q1,GA1210002,GA57292,12/31/2016,01/01/2014,,05/26/2017,02/21/2018,18537373,PB90,,.0024,mg/L,05/26/2017,02/21/2018
2025Q1,GA2590000,GA57216,12/31/2016,01/01/2014,,05/26/2017,11/15/2017,18537482,PB90,,.00091,mg/L,05/26/2017,11/15/2017
2025Q1,GA3110107,GA57344,12/31/2016,07/01/2016,,05/26/2017,03/20/2025,18537566,PB90,,.02,mg/L,05/26/2017,03/20/2025
2025Q1,GA1050000,GA57218,06/30/2017,01/01/2017,,05/26/2017,03/09/2021,18537583,CU90,,2.8,mg/L,05/26/2017,03/09/2021
2025Q1,GA1450008,GA57353,06/30/2017,01/01/2017,,05/26/2017,08/16/2018,18537586,CU90,,4.1,mg/L,05/26/2017,08/16/2018
2025Q1,GA1950045,GA57333,12/31/2016,07/01/2016,,05/26/2017,03/09/2021,18537599,CU90,,1.8,mg/L,05/26/2017,03/09/2021
2025Q1,GA2190022,GA57334,12/31/2016,07/01/2016,,05/26/2017,03/09/2021,18537602,CU90,,1.6,mg/L,05/26/2017,03/09/2021
2025Q1,GA0290009,GA45301,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17496495,PB90,,.0026,mg/L,12/10/2013,06/19/2019
2025Q1,GA1670002,GA65541,12/31/2021,01/01/2019,,11/12/2019,03/20/2025,19317900,PB90,,.0026,mg/L,11/12/2019,03/20/2025
2025Q1,GA1750004,GA65856,12/31/2019,01/01/2017,,11/12/2019,03/09/2021,19317907,PB90,,.0021,mg/L,11/12/2019,03/09/2021
2025Q1,GA1790020,GA66007,12/31/2019,01/01/2017,,11/12/2019,03/09/2021,19317910,PB90,,.0036,mg/L,11/12/2019,03/09/2021
2025Q1,GA0290010,GA44161,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496496,PB90,,.0028,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290011,GA44204,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496497,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290013,GA44398,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496500,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290015,GA45198,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496501,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290017,GA45044,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496502,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290021,GA45717,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496503,PB90,,.0013,mg/L,12/10/2013,02/24/2014
2025Q1,GA0290022,GA44219,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496504,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0130002,GA57217,12/31/2016,01/01/2014,,03/09/2017,02/21/2018,18477737,PB90,,.0005,mg/L,03/09/2017,02/21/2018
2025Q1,GA1270007,GA56974,12/31/2016,07/01/2016,,03/09/2017,03/20/2025,18477845,PB90,,.059,mg/L,03/09/2017,03/20/2025
2025Q1,GA2890012,GA56982,12/31/2016,07/01/2016,,03/09/2017,02/21/2018,18477981,PB90,,.0215,mg/L,03/09/2017,02/21/2018
2025Q1,GA0210021,GA57107,12/31/2016,01/01/2016,,03/09/2017,03/20/2025,18478065,CU90,,1.7,mg/L,03/09/2017,03/20/2025
2025Q1,GA0770107,GA56995,12/31/2016,07/01/2016,,03/09/2017,03/09/2021,18478071,CU90,,2.4,mg/L,03/09/2017,03/09/2021
2025Q1,GA1850300,GA57011,12/31/2016,07/01/2016,,03/09/2017,03/09/2021,18478088,CU90,,2.005,mg/L,03/09/2017,03/09/2021
2025Q1,GA1950006,GA57135,12/31/2016,07/01/2016,,03/09/2017,03/09/2021,18478090,CU90,,2.4,mg/L,03/09/2017,03/09/2021
2025Q1,GA2190035,GA57136,12/31/2016,07/01/2016,,03/09/2017,03/09/2021,18478095,CU90,,1.475,mg/L,03/09/2017,03/09/2021
2025Q1,GA0310218,GA44858,12/31/2013,01/01/2013,,12/10/2013,02/24/2014,17496642,PB90,,.0099,mg/L,12/10/2013,02/24/2014
2025Q1,GA0310221,GA45069,12/31/2014,01/01/2012,,12/10/2013,02/24/2014,17496657,PB90,,.0036,mg/L,12/10/2013,02/24/2014
2025Q1,GA0330000,GA44903,12/31/2013,01/01/2013,,12/10/2013,02/24/2014,17496664,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0330017,GA45244,12/31/2014,01/01/2012,,12/10/2013,12/18/2024,17496674,PB90,,.0061,mg/L,12/10/2013,12/18/2024
2025Q1,GA0330035,GA45240,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496677,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0350000,GA44498,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496678,PB90,,.0036,mg/L,12/10/2013,02/24/2014
2025Q1,GA0350004,GA44495,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496679,PB90,,.0046,mg/L,12/10/2013,02/24/2014
2025Q1,GA0350051,GA44211,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17496680,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA0370003,GA44411,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496681,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0390000,GA44982,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17496682,PB90,,.0029,mg/L,12/10/2013,08/24/2015
2025Q1,GA0390001,GA44185,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17496683,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA0390002,GA44203,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496684,PB90,,.0025,mg/L,12/10/2013,02/24/2014
2025Q1,GA0390043,GA45760,12/31/2015,01/01/2013,,12/10/2013,06/19/2019,17496688,PB90,,.0013,mg/L,12/10/2013,06/19/2019
2025Q1,GA0430024,GA45040,12/31/2015,01/01/2013,,12/10/2013,02/24/2014,17496704,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0430025,GA45740,12/31/2013,01/01/2013,,12/10/2013,06/19/2019,17496709,PB90,,0,mg/L,12/10/2013,06/19/2019
2025Q1,GA0450001,GA45636,12/31/2015,01/01/2013,,12/10/2013,08/24/2015,17496716,PB90,,.0025,mg/L,12/10/2013,08/24/2015
2025Q1,GA0450003,GA44579,12/31/2014,01/01/2012,,12/10/2013,02/24/2014,17496717,PB90,,0,mg/L,12/10/2013,02/24/2014
2025Q1,GA0450005,GA45327,12/31/2015,01/01/2013,,12/10/2013,12/20/2022,17496721,PB90,,.0025,mg/L,12/10/2013,12/20/2022
2025Q1,GA0450006,GA45291,12/31/2013,01/01/2013,,12/10/2013,03/09/2017,17496722,PB90,,.0025,mg/L,12/10/2013,03/09/2017
2025Q1,GA0450007,GA45236,12/31/2013,01/01/2013,,12/10/2013,06/19/2019,17496724,PB90,,.0026,mg/L,12/10/2013,06/19/2019
2025Q1,GA0450032,GA45002,12/31/2013,01/01/2013,,12/10/2013,02/24/2014,17496725,PB90,,.0025,mg/L,12/10/2013,02/24/2014
