SUBMISSIONYEARQUARTER,PWSID,SERVICE_AREA_TYPE_CODE,IS_PRIMARY_SERVICE_AREA_CODE,FIRST_REPORTED_DATE,LAST_REPORTED_DATE
2025Q1,GA0270036,SU,Y,,03/20/2025
2025Q1,GA0270037,MP,Y,,03/20/2025
2025Q1,GA0270038,SU,Y,,03/20/2025
2025Q1,GA0270039,SU,Y,,03/20/2025
2025Q1,GA0290000,MU,Y,,03/20/2025
2025Q1,GA0290001,MU,Y,,03/20/2025
2025Q1,GA0290002,SC,Y,,03/20/2025
2025Q1,GA0290003,PA,Y,,03/20/2025
2025Q1,GA0290004,SU,Y,,03/20/2025
2025Q1,GA0290005,SU,Y,,03/20/2025
2025Q1,GA0290006,SU,Y,,03/20/2025
2025Q1,GA0290008,SU,Y,,03/20/2025
2025Q1,GA0290009,SU,Y,,03/20/2025
2025Q1,GA0290010,SU,Y,,03/20/2025
2025Q1,GA0290011,SU,Y,,03/20/2025
2025Q1,GA0290012,SU,Y,,05/18/2007
2025Q1,GA0290013,MP,Y,,03/20/2025
2025Q1,GA0290014,SU,Y,,03/20/2025
2025Q1,GA0290015,SU,Y,,03/20/2025
2025Q1,GA0290017,SC,Y,,03/20/2025
2025Q1,GA0290018,PA,Y,,03/20/2025
2025Q1,GA0290019,IA,Y,,07/22/1995
2025Q1,GA0290020,SU,Y,,03/20/2025
2025Q1,GA0290021,SU,Y,,03/20/2025
2025Q1,GA0290022,SU,Y,,03/20/2025
2025Q1,GA0290023,SU,Y,,03/20/2025
2025Q1,GA0290024,SU,Y,,03/20/2025
2025Q1,GA0290025,SU,Y,,03/20/2025
2025Q1,GA0290029,SU,Y,,03/20/2025
2025Q1,GA0290031,MP,Y,,03/20/2025
2025Q1,GA0290033,HM,,,07/22/1995
2025Q1,GA0290035,RA,,,07/22/1995
2025Q1,GA0290044,PA,Y,,03/20/2025
2025Q1,GA0190026,SK,Y,,01/19/2002
2025Q1,GA0290036,MP,Y,,03/20/2025
2025Q1,GA0290037,RS,,,07/22/1995
2025Q1,GA0290038,RS,,,07/22/1995
2025Q1,GA0290042,SS,,,07/22/1995
2025Q1,GA0290045,PA,Y,,05/23/2002
2025Q1,GA0290048,SS,,,07/22/1995
2025Q1,GA0290050,RA,,,07/22/1995
2025Q1,GA0290051,OA,,,07/22/1995
2025Q1,GA0290053,MP,Y,,12/21/2023
2025Q1,GA0290054,PA,Y,,05/04/2018
2025Q1,GA0290055,RS,,,07/22/1995
2025Q1,GA0290056,HM,Y,,07/22/1995
2025Q1,GA0290058,RS,,,07/22/1995
2025Q1,GA0290060,SK,Y,,07/22/1995
2025Q1,GA0290061,ON,Y,,03/20/2025
2025Q1,GA0290063,SU,Y,,08/18/2011
2025Q1,GA0290064,SU,Y,,03/20/2025
2025Q1,GA0290066,SU,Y,,05/19/2015
2025Q1,GA0290067,SU,Y,,03/20/2025
2025Q1,GA0290068,SU,Y,,05/19/2015
2025Q1,GA0290069,SU,Y,,03/20/2025
2025Q1,GA0290072,SU,Y,08/22/2006,03/20/2025
2025Q1,GA0290075,SU,Y,,08/20/2009
2025Q1,GA0290070,SU,Y,,03/20/2025
2025Q1,GA0290071,SU,Y,,03/20/2025
2025Q1,GA0290073,SU,Y,,05/18/2007
2025Q1,GA0290076,SU,Y,,03/20/2025
2025Q1,GA0290078,SU,Y,,03/20/2025
2025Q1,GA0290079,SU,Y,,03/20/2025
2025Q1,GA0290080,RA,Y,,03/20/2025
2025Q1,GA0290081,RA,Y,,07/22/1995
2025Q1,GA0290083,RA,Y,,03/20/2025
2025Q1,GA0290084,SU,Y,,05/26/2011
2025Q1,GA0290085,SU,Y,,05/19/2015
2025Q1,GA0290086,SU,Y,,05/19/2015
2025Q1,GA0290087,SU,Y,,03/20/2025
2025Q1,GA0290089,OT,Y,11/15/2005,03/20/2025
2025Q1,GA0290090,SU,Y,05/18/2006,03/20/2025
2025Q1,GA0290091,IA,Y,11/15/2005,03/20/2025
2025Q1,GA0290092,SU,Y,05/18/2006,03/20/2025
2025Q1,GA0290093,SU,Y,05/18/2006,03/20/2025
2025Q1,GA0290094,SU,Y,08/29/2007,03/20/2025
2025Q1,GA0290096,SU,Y,11/16/2009,03/20/2025
2025Q1,GA0290097,SU,Y,05/18/2010,03/20/2025
2025Q1,GA0290098,SU,Y,02/25/2008,03/20/2025
2025Q1,GA0290099,SU,Y,02/25/2008,03/20/2025
2025Q1,GA0290100,WH,Y,11/29/2010,05/04/2018
2025Q1,GA0290102,RA,,02/20/2013,03/20/2025
2025Q1,GA0290102,SU,Y,02/20/2013,03/20/2025
2025Q1,GA0290103,SC,Y,03/01/2012,03/20/2025
2025Q1,GA0290104,RA,Y,12/10/2013,03/20/2025
2025Q1,GA0290105,RA,Y,08/29/2016,03/20/2025
2025Q1,GA0290106,RE,Y,02/10/2020,03/20/2025
2025Q1,GA0290107,RE,Y,11/22/2021,03/20/2025
2025Q1,GA0310000,MU,Y,,03/20/2025
2025Q1,GA0310003,MU,Y,,03/20/2025
2025Q1,GA0310004,MU,Y,,03/20/2025
2025Q1,GA0310006,OR,Y,,03/20/2025
2025Q1,GA0310009,SC,Y,,03/07/2003
2025Q1,GA0310010,SC,Y,,03/20/2025
2025Q1,GA0310012,SC,Y,,09/30/2005
2025Q1,GA0310013,RA,Y,,03/20/2025
2025Q1,GA0310014,MP,Y,,03/20/2025
2025Q1,GA0310015,SU,Y,,03/20/2025
2025Q1,GA0310016,SU,Y,,03/20/2025
2025Q1,GA0310017,MP,Y,,12/12/2014
2025Q1,GA0310018,MH,Y,,07/22/1995
2025Q1,GA0310019,HM,Y,,03/20/2025
2025Q1,GA0310020,IA,Y,,09/30/2005
2025Q1,GA0310024,IN,,,07/22/1995
2025Q1,GA0310025,MP,Y,,03/20/2025
2025Q1,GA0310027,IA,Y,,07/22/1995
2025Q1,GA0310028,MP,Y,,03/20/2025
2025Q1,GA0310029,SC,Y,,11/16/2020
2025Q1,GA0310030,RA,,,07/22/1995
2025Q1,GA0310031,MP,Y,,08/22/2006
2025Q1,GA0310032,IN,,,07/22/1995
2025Q1,GA0310033,SU,Y,,03/20/2025
2025Q1,GA0310034,SU,Y,,11/12/2019
2025Q1,GA0310035,SU,Y,,12/16/2016
2025Q1,GA0310036,SU,Y,,03/20/2025
2025Q1,GA0310037,SU,Y,,03/20/2025
